season,event_date,tm_nano,tm_market,tm_name,tm_alias,opp_nano,opp_market,opp_name,opp_alias,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,won_toss,won_toss_decision,won_toss_overtime,won_toss_overtime_decision,temperature,humidity_pct,wind_speed,boxscore_stats_link
2009,2009-09-10,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,ltMyRE3yvVUaw,Tennessee,Titans,TEN,-6.5,6.5,35.0,65110,187,Outdoors,Dessograss,TEN,Deferred,PIT,Accepted,67.0,54.0,9.0,https://www.pro-football-reference.com/boxscores/200909100pit.htm
2009,2009-09-13,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,6DclFuycdPaOB,Denver,Broncos,DEN,-5.0,5.0,41.0,62831,182,Outdoors,Fieldturf,CIN,Deferred,,,73.0,47.0,7.0,https://www.pro-football-reference.com/boxscores/200909130cin.htm
2009,2009-09-13,LJmHetie5VbbO,Indianapolis,Colts,IND,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,-6.0,6.0,45.0,65757,164,Retractable roof (open),Fieldturf,IND,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/200909130clt.htm
2009,2009-09-13,zyhFXj1nywrm1,Baltimore,Ravens,BAL,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,-13.0,13.0,36.5,71099,198,Outdoors,Sportturf,BAL,Deferred,,,76.0,68.0,5.0,https://www.pro-football-reference.com/boxscores/200909130rav.htm
2009,2009-09-13,IR4gIYmh269EI,Cleveland,Browns,CLE,AzOs5UWsXusSW,Minnesota,Vikings,MIN,4.5,-4.5,40.0,70560,180,Outdoors,Grass,CLE,Accepted,,,70.0,0.0,6.0,https://www.pro-football-reference.com/boxscores/200909130cle.htm
2009,2009-09-13,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,KdjU81i7YSFE7,Dallas,Cowboys,DAL,5.0,-5.0,40.0,63806,191,Outdoors,Grass,DAL,Accepted,,,85.0,82.0,6.0,https://www.pro-football-reference.com/boxscores/200909130tam.htm
2009,2009-09-13,CI5mhfNa0Zqd2,New Orleans,Saints,NO,FCuH1wdksA2DQ,Detroit,Lions,DET,-14.0,14.0,50.0,69719,211,Dome,Fieldturf,NO,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/200909130nor.htm
2009,2009-09-13,UI0Ax4HUEXFh6,Houston,Texans,HOU,mexvMWO2v1hWn,New York,Jets,NYJ,-4.5,4.5,45.0,70118,173,Retractable roof (closed),Grass,NYJ,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/200909130htx.htm
2009,2009-09-13,jJBGuksuDJF5L,Carolina,Panthers,CAR,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,2.5,-2.5,43.5,73599,194,Outdoors,Grass,CAR,Accepted,,,82.0,61.0,5.0,https://www.pro-football-reference.com/boxscores/200909130car.htm
2009,2009-09-13,mLspw4gJNTQGN,Atlanta,Falcons,ATL,mfbu6O5aMHbJg,Miami,Dolphins,MIA,-4.0,4.0,44.5,67606,170,Dome,Fieldturf,ATL,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/200909130atl.htm
2009,2009-09-13,GJizlkzQFaqGA,Arizona,Cardinals,ARI,IwSI92ZDKoazn,San Francisco,49ers,SF,-4.5,4.5,45.0,61981,202,Retractable roof (closed),Grass,ARI,Accepted,,,,,,https://www.pro-football-reference.com/boxscores/200909130crd.htm
