season,event_date,tm_nano,tm_market,tm_name,tm_alias,opp_nano,opp_market,opp_name,opp_alias,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,won_toss,won_toss_decision,won_toss_overtime,won_toss_overtime_decision,temperature,humidity_pct,wind_speed,boxscore_stats_link
2018,2018-09-06,hjjmgzxilGWdr,Philadelphia,Eagles,PHI,mLspw4gJNTQGN,Atlanta,Falcons,ATL,-1.0,1.0,44.5,69696,199,Outdoors,Grass ,PHI,Deferred,,,81.0,,8.0,https://www.pro-football-reference.com/boxscores/201809060phi.htm
2018,2018-09-09,zyhFXj1nywrm1,Baltimore,Ravens,BAL,3VqeLK0LS9rpw,Buffalo,Bills,BUF,-7.5,7.5,39.0,70591,201,Outdoors,Grass,BUF,Deferred,,,61.0,,12.0,https://www.pro-football-reference.com/boxscores/201809090rav.htm
2018,2018-09-09,LJmHetie5VbbO,Indianapolis,Colts,IND,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,1.0,-1.0,47.5,58699,184,Retractable roof (closed),Fieldturf ,IND,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/201809090clt.htm
2018,2018-09-09,IR4gIYmh269EI,Cleveland,Browns,CLE,SlVgURDFI7EXX,Pittsburgh,Steelers,PIT,3.5,-3.5,41.0,67431,234,Outdoors,Grass ,CLE,Deferred,CLE,Accepted,58.0,,11.0,https://www.pro-football-reference.com/boxscores/201809090cle.htm
2018,2018-09-09,VkxV91RtzHn65,New England,Patriots,NE,UI0Ax4HUEXFh6,Houston,Texans,HOU,-6.0,6.0,49.5,65878,192,Outdoors,Fieldturf ,HOU,Deferred,,,62.0,,10.0,https://www.pro-football-reference.com/boxscores/201809090nwe.htm
2018,2018-09-09,n8CuHV9wbYCqF,New York,Giants,NYG,RtOjnciWkJPaL,Jacksonville,Jaguars,JAC,2.5,-2.5,43.0,77992,184,Outdoors,Fieldturf ,NYG,Deferred,,,59.0,,7.0,https://www.pro-football-reference.com/boxscores/201809090nyg.htm
2018,2018-09-09,mfbu6O5aMHbJg,Miami,Dolphins,MIA,ltMyRE3yvVUaw,Tennessee,Titans,TEN,1.0,-1.0,43.5,65184,428,Outdoors,Grass ,MIA,Deferred,,,89.0,,7.0,https://www.pro-football-reference.com/boxscores/201809090mia.htm
2018,2018-09-09,AzOs5UWsXusSW,Minnesota,Vikings,MIN,IwSI92ZDKoazn,San Francisco,49ers,SF,-6.0,6.0,46.5,66673,192,Dome,Sportturf,SF,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/201809090min.htm
2018,2018-09-09,CI5mhfNa0Zqd2,New Orleans,Saints,NO,QMAZH1v922YLu,Tampa Bay,Buccaneers,TB,-10.0,10.0,50.0,73038,193,Dome,Sportturf,TB,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/201809090nor.htm
2018,2018-09-09,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,-3.5,3.5,48.0,25351,188,Outdoors,Grass,KC,Deferred,,,84.0,,8.0,https://www.pro-football-reference.com/boxscores/201809090sdg.htm
2018,2018-09-09,jJBGuksuDJF5L,Carolina,Panthers,CAR,KdjU81i7YSFE7,Dallas,Cowboys,DAL,-2.5,2.5,42.5,74532,182,Outdoors,Grass ,CAR,Deferred,,,81.0,,9.0,https://www.pro-football-reference.com/boxscores/201809090car.htm
2018,2018-09-09,GJizlkzQFaqGA,Arizona,Cardinals,ARI,9JtBk8kFeaGEs,Washington,Football Team,WAS,-2.0,2.0,43.5,61613,177,Retractable roof (closed),Grass ,ARI,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/201809090crd.htm
2018,2018-09-09,6DclFuycdPaOB,Denver,Broncos,DEN,4M8AK5p0WXs1N,Seattle,Seahawks,SEA,-3.0,3.0,42.5,76761,186,Outdoors,Grass ,SEA,Deferred,,,84.0,,5.0,https://www.pro-football-reference.com/boxscores/201809090den.htm
2018,2018-09-09,D5QY6bOxfn8ZL,Green Bay,Packers,GB,1vVmWGzUZ1rea,Chicago,Bears,CHI,-6.5,6.5,45.0,78282,187,Outdoors,Grass ,CHI,Deferred,,,62.0,,10.0,https://www.pro-football-reference.com/boxscores/201809090gnb.htm
2018,2018-09-10,FCuH1wdksA2DQ,Detroit,Lions,DET,mexvMWO2v1hWn,New York,Jets,NYJ,-7.0,7.0,44.0,61352,198,Dome,Fieldturf ,DET,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/201809100det.htm
2018,2018-09-10,LZoDld8s63xUs,Las Vegas,Raiders,LV,u98I1lDKQBwZ0,Los Angeles,Rams,LA,6.5,-6.5,47.5,53857,190,Outdoors,Grass ,LA,Deferred,,,69.0,,10.0,https://www.pro-football-reference.com/boxscores/201809100rai.htm
2018,2018-09-13,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,zyhFXj1nywrm1,Baltimore,Ravens,BAL,-1.0,1.0,43.0,50018,206,Outdoors,Fieldturf ,CIN,Deferred,,,82.0,,3.0,https://www.pro-football-reference.com/boxscores/201809130cin.htm
2018,2018-09-16,mLspw4gJNTQGN,Atlanta,Falcons,ATL,jJBGuksuDJF5L,Carolina,Panthers,CAR,-5.5,5.5,44.0,72528,188,Retractable roof (open),Fieldturf,ATL,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/201809160atl.htm
2018,2018-09-16,3VqeLK0LS9rpw,Buffalo,Bills,BUF,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,7.5,-7.5,41.5,69187,187,Outdoors,A_turf,BUF,Deferred,,,83.0,,6.0,https://www.pro-football-reference.com/boxscores/201809160buf.htm
2018,2018-09-16,CI5mhfNa0Zqd2,New Orleans,Saints,NO,IR4gIYmh269EI,Cleveland,Browns,CLE,-10.0,10.0,51.0,73086,175,Dome,Sportturf,NO,Deferred,,,,,,https://www.pro-football-reference.com/boxscores/201809160nor.htm
2018,2018-09-16,9JtBk8kFeaGEs,Washington,Football Team,WAS,LJmHetie5VbbO,Indianapolis,Colts,IND,-6.0,6.0,48.0,57013,173,Outdoors,Grass ,WAS,Deferred,,,71.0,,5.0,https://www.pro-football-reference.com/boxscores/201809160was.htm
2018,2018-09-16,D5QY6bOxfn8ZL,Green Bay,Packers,GB,AzOs5UWsXusSW,Minnesota,Vikings,MIN,2.0,-2.0,45.0,78461,217,Outdoors,Grass ,MIN,Deferred,MIN,Accepted,80.0,,5.0,https://www.pro-football-reference.com/boxscores/201809160gnb.htm
2018,2018-09-16,ltMyRE3yvVUaw,Tennessee,Titans,TEN,UI0Ax4HUEXFh6,Houston,Texans,HOU,3.5,-3.5,41.0,62372,177,Outdoors,Grass ,TEN,Deferred,,,81.0,,12.0,https://www.pro-football-reference.com/boxscores/201809160oti.htm
